title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
"""Town of Cary : Garbage";"Recycling & Yard Waste""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;;5;2/9/2017 20:21;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Trails At Hemlock Bluffs;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/stevens-nature-center-at-hemlock-bluffs-nature-preserve/trails-at-hemlock-bluffs;;1;2/18/2017 12:36;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Curbside Recycling;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling/curbside-recycling;;5;2/7/2017 16:18;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Calendar;http://www.townofcary.org/connect-engage/calendar;;2;2/8/2017 9:12;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;;1;2/9/2017 10:49;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Programs by Category;http://www.townofcary.org/recreation-enjoyment/programs-classes/programs-by-category;I'm looking for adult fitness class at MCCC. When I clicked on that facility I did not get all the offerings. When I click on adult fitness from Programs and classes I get a listing for August!?!;1;2/23/2017 11:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Stevens Nature Center At Hemlock Bluffs Nature Preserve;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/stevens-nature-center-at-hemlock-bluffs-nature-preserve;Get rid of this  pop-up;1;2/18/2017 12:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Arts Center;http://www.townofcary.org/recreation-enjoyment/facilities/cary-arts-center?cury=2017&curm=3&curd=1&curview=month;Please reformat the calendar for mobile users.  Cannot see events schedule;1;2/28/2017 20:49;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Planning Department;http://www.townofcary.org/connect-engage/town-departments-offices/planning-department;"""Staff contacts would be VERY helpful from the """"Planning Department"""" link!   Thank you. """;1;2/28/2017 10:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Adult Sports;http://www.townofcary.org/recreation-enjoyment/sports/adult-sports;no looking for a registration form for senior softball;2;2/28/2017 21:47;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Traffic;http://www.townofcary.org/services-publications/traffic;Is it ok to put up a basketball net a cul de sac?;3;2/21/2017 12:49;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Online Plan Submittals;http://www.townofcary.org/services-publications/residential-permits-inspections/development-regulations/plan-review-and-design;;1;2/21/2017 15:54;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Black Creek Greenway;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways/black-creek-greenway;;5;2/28/2017 12:58;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Guide to Services S;http://www.townofcary.org/services-publications/all-services/guide-to-services-s;;5;2/22/2017 9:30;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Water;http://www.townofcary.org/services-publications/water-sewer/water;;1;2/18/2017 16:47;;;;;;;;;;;;;;;;;;;;;;;
Discover Our Camps | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/tennis-camps;searched for ages and could not find anuything for track out camp for tennis at cary tennis park!  Who created this website!;1;6/18/2017 14:14;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Parks | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks;Looking for baseball fields closings;1;6/21/2017 13:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Recreation & Enjoyment | Town of Cary;http://www.townofcary.org/recreation-enjoyment;Need easy link to staff directory;4;6/22/2017 19:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Who's My Inspector | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/who-s-my-inspector;;4;6/28/2017 7:22;;;;;;;;;;;;;;;;;;;;;;;
Upcoming Productions | Town of Cary;http://www.townofcary.org/recreation-enjoyment/arts-culture/youth-theater/upcoming-productions;;5;7/6/2017 21:08;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;1;6/26/2017 17:06;;;;;;;;;;;;;;;;;;;;;;;
Animal Control | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;;5;6/22/2017 14:23;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;;5;6/16/2017 3:19;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;"""I cannot find """"get rain out information"""" as directed by the Cary Tennis Park voice mail.  I finally find an inclement weather page for CTP";which says it will be updated an hour before the event--yet it does not reflect any rain information;"and events are ongoing now?""";1;3/31/2017 10:36;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Town of Cary : Alerts & Closures;http://www.townofcary.org/projects-initiatives/alerts-closures;"""It was very difficult to find where the alerts and closures page was.  Doesn't seem to fit under """"Projects & Initiatives"""".  I had to leave the site";search twitter;"then find a link back into the TOC website.  """;3;3/29/2017 8:21;Content/Function Requests;;;;;;;;;;;;;;;;;;;;
Town of Cary : Spring Youth Baseball and Softball (Age 5-18);http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;Rules on legal bat for Colt league;3;3/31/2017 19:14;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Special Events;http://www.townofcary.org/recreation-enjoyment/events/special-events;Celebrating National Dance Week links to 2014 event...FYI;2;4/8/2017 9:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Newsroom;http://www.townofcary.org/connect-engage/newsroom;What is the name of your news paper I am looking for my Aunt's obituary;1;4/6/2017 12:02;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Online Application;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival/apply/online-application;;4;4/3/2017 6:44;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Mixed Media;http://www.townofcary.org/recreation-enjoyment/events/festivals/spring-daze-arts-and-crafts-festival/artists/mixed-media;;5;4/5/2017 17:34;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Cary Road Race;http://www.townofcary.org/recreation-enjoyment/sports/sports-events-and-tournaments/cary-road-race;;5;4/7/2017 16:19;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Utility Customer Service;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;1;4/3/2017 19:02;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;;5;4/5/2017 15:37;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org/;"""I just want to pay my water bill like always!  Now I can't even find the spot!  My Daddy used to say """"If it ain't broke";"don't fix it!"""".  The old Cary site WAS NOT Broken!""";1;3/25/2017 13:30;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Interactive Development Map;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;The website appears to be down. The interactive map does not show any of the approved developments.;3;3/5/2017 19:50;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
